RefDes,Qty,Value/Package,Manufacturer/MPN,Alternative,Rating/Notes,Status,Purpose,PackageDetail,Evidence/Source,Validation
F1,1,10A blade fuse (ATO),Littelfuse 0297010 / Bourns CF-2 equivalent,Any 10A ATO fuse from an established maker (verify datasheet; no qualification claimed),Vehicle RETRACT-domain feed; keep holder accessible,PROPOSED - verify fuse coordination with HEAD 30A / RETRACT 30A upstream,Module overcurrent clear,ATO blade + inline holder,Littelfuse 0297 datasheet (review at order); TI TIDA-01167 fuse concept,NEEDS PHYSICAL VALIDATION (HV4 fuse-clear)
FH1,1,ATO fuse holder sealed,Littelfuse 0358-series / TE equivalent,Any sealed ATO holder,30V DC min; accessible for service disconnect,PROPOSED,Fuse mounting + service disconnect,Panel/inline sealed,Maker datasheet at order,NEEDS DATASHEET REVIEW
D_REV,1,Ideal-diode / N-MOSFET reverse-polarity block,TI LM5050-1 + CSD18532KCS (OR-ing reverse block - NOT the TIDA-01167 LM5060-Q1 circuit - attribution corrected 2026-09-23),LM5050-1-Q1 automotive controller equivalent + 100 V-Vds-class N-FET REQUIRED (see notes),"Blocks reverse battery / jump-start reversal. Headroom verified ONLY for jump-start 24 V + reverse -14 V (LM5050-1 100 V abs, CSD18532KCS 60 V Vds). D-04 attack-session finding rev 0.3.3: unsuppressed dump (101 V) puts LM5050 IN at 101 V (> 100 V abs) and FET Vds ~59 V (~60 V abs); EFT +100 V puts Vds ~58 V. Margin 1-2 V is NOT headroom - LAB must confirm, and the FET MUST be 100 V Vds class at order (drop-in, no copper change).",PROPOSED - PARTIALLY RESOLVED (OE-01 voltage review; HV4 + LAB still required),Reverse-battery block,SOT-6 (LM5050-1) + TO-220 (100 V Vds N-FET, footprint remap at GUI per OE-12),TI LM5050-1 Rev F + FET datasheet at order (Vds >= 100 V, Rds <= 5 mohm, LM5050-compatible gate); TIDA-01167 TIDUC41A as protection-concept reference only; eng/transients.py D-04,NEEDS PHYSICAL VALIDATION (HV4 reverse + LAB dump)
TVS1,1,SMBJ26CA bidirectional TVS (600 W 10/1000 us class),Littelfuse SMBJ26CA,SMAJ26CA equivalent,"Vrwm 26 V / Vbr 28.9-31.9 V @1 mA / Vc 42.1 V @ Ipp 14.3 A (Littelfuse SMBJ series; cross-verified 2026-09-24 Littelfuse/ST/Brightking). No 26V-Vrwm avalanche TVS clamps below 38 V at any surveyed power class (400W-7000W - see PROTECTION_ANALYSIS). Rev 0.3.2: buck is LM46002-Q1 (65 V abs) so Vc 42.1 V coordinates with margin; SMBJ remains ESD/fast-transient class NOT a long-dump absorber - unsuppressed dump stays sacrificial-safe (TVS short -> F1 clears) + LAB. Compliance NOT claimed.",PROPOSED - PARTIALLY RESOLVED (OE-01: coordination via buck selection; energy/LAB still required),Transient clamp at entry,DO-214AA (SMB),"Littelfuse SMBJ series + ST DS1283 Rev 14 + TI LM46002-Q1 SNVSAA2B (verified 2026-09-24)",HV4 transient + LAB pulse-generator confirmation still required (OE-01)
U_BUCK,1,Buck converter 12V->5V 2A automotive,TI LM46002-Q1 (rev 0.3.2 OE-01 resolution; replaces LMR33630),LM46002A-Q1 PFM variant (same datasheet SNVSAA2B); LM65625-Q1 (TI successor 65V/2.5A - reviewer pointer only NOT evaluated here),"3.5-60 V operating / 65 V abs max VIN (SNVSAA2B Rev B 2017-07-14 S6.1/S6.3 verified 2026-09-24); TI part qualification only NOT a product claim; 2 A sync; 27 uA Iq. TVS Vc 42.1 V now WITHIN operating range (margin 17.9 V) and abs max (margin 22.9 V). Two-stage lesson kept. Inductor/compensation per datasheet at bench; precision-enable UVLO programming at bring-up.",PROPOSED - PARTIALLY RESOLVED (OE-01: voltage coordination by construction; LAB still required),5V rail for coils,HTSSOP-16 PWP (footprint remap at GUI per OE-12),TI LM46002-Q1 datasheet SNVSAA2B Rev B (verified 2026-09-24); LM46002PWPEVM reference,"HV4 transient + LAB pulse-generator confirmation + HV5/HV6 load/thermal still required (OE-01)"
L_BUCK,1,Buck inductor per U_BUCK datasheet (wired SW->L->5V node rev 0.3; was floating in sch),Coilcraft / Bourns per buck datasheet,Per buck reference design,Saturation current >= 2x load intent; verify at bench,PROPOSED,Buck energy storage,SMD power inductor,Buck datasheet reference design,NEEDS DATASHEET REVIEW
U_LDO,1,LDO 5V->3.3V 1A,ST KF33BD-TR class (as OpenWink rev1/2),AP2112K-3.3 / TLV1117LV33,Feeds ESP32-S3. Two-stage keeps dissipation low. Verify thermal at 70C ambient.,PROPOSED,3V3 MCU rail,SOT-223,ST KF33BD datasheet (review),NEEDS PHYSICAL VALIDATION (HV6 thermal)
U_MCU,1,ESP32-S3-WROOM-1 module,Espressif ESP32-S3-WROOM-1-N8,ESP32-S3-WROOM-1-N16R2,Coded-PHY BLE; NVS settings; HW watchdog 2 s. Firmware in firmware/src/main.cpp.,PROPOSED,Control + BLE + NVS,Castellated module 2x20,Espressif module datasheet (review at order),NEEDS PHYSICAL VALIDATION (flash + bench HV2)
K1,1,DPDT relay 5V coil LEFT-A,Omron G2R-2-DC5,TE RT-series DPDT 5V-coil equivalent (exact variant TBD at order - verify pinout + DC rating),NC = OEM pass-through (fail-safe); NO = MCU drive. 5A@30VDC resistive per G2R datasheet; DC inductive motor-load rating + stall TBD at HV3 - do NOT downrate.,PROPOSED - confirm against measured stall,Left polarity leg A,THT DPDT (footprint remap at GUI),Omron G2R datasheet (coil current + contact rating review; read exact 5V-coil current at order),NEEDS PHYSICAL VALIDATION (HV1 continuity + HV3 stall)
K2,1,DPDT relay 5V coil LEFT-B,Omron G2R-2-DC5,TE RT-series DPDT 5V-coil equivalent (exact variant TBD at order - verify pinout + DC rating),Pairs with K1 as reversing pair; both-high inhibited in firmware. 5A@30VDC resistive; DC inductive rating TBD at HV3.,PROPOSED - confirm against measured stall,Left polarity leg B,THT DPDT (footprint remap at GUI),Omron G2R datasheet,NEEDS PHYSICAL VALIDATION (HV1/HV3)
