net,schematic_label,pcb_net_id,notes
VBAT,J1.1->F1,1,fused feed, 2.5mm2 intent
GND,star point,2,B.Cu plane, chassis bolt
12V_PROTECTED,F1->TVS->buck,5,after reverse block + TVS
5V,buck out -> LDO in,4,relay coils rail
3V3,LDO out -> MCU,3,MCU + pullups, 100nF per pin intent
N_SW,U_BUCK.3 -> L_BUCK,33,buck switch node (unlabeled wire), inductor input
OEM_L_A,J1.3 NC K1,10,de-energized straight-through
OEM_L_B,J1.4 NC K2,11,twisted pair intent
OEM_R_A,J1.5 NC K3,12,de-energized straight-through
OEM_R_B,J1.6 NC K4,13,twisted pair intent
MOTOR_L_A,K1 COM -> J2.1,6,2.0mm track, stall TBD HV3
MOTOR_L_B,K2 COM -> J2.2,7,2.0mm track, stall TBD HV3
MOTOR_R_A,K3 COM -> J3.1,8,2.0mm track, stall TBD HV3
MOTOR_R_B,K4 COM -> J3.2,9,2.0mm track, stall TBD HV3
RELAY_L_COIL_A,GPIO4 via Q1,14,NPN low-side, LOW=off
RELAY_L_COIL_B,GPIO5 via Q2,15,flyback D2
RELAY_R_COIL_A,GPIO6 via Q3,16,NPN low-side, LOW=off
RELAY_R_COIL_B,GPIO7 via Q4,17,flyback D4
BTN_SENSE,J1.7 via opto -> GPIO9,18,high-Z tap only + D5 antiparallel revprot (D-05 rev 0.3.3)
AUX1,GPIO14 via 10k pullup,19,active-low pullup (R_AUX1 rev 0.3)
AUX2,GPIO21 via 10k pullup,20,active-low pullup (R_AUX2 rev 0.3)
TX0,J_PROG.1 prog header,34,MCU-side mating at routing
RX0,J_PROG.2 prog header,35,MCU-side mating at routing
BOOT,J_PROG.3 prog header,36,MCU-side mating at routing
EN,J_PROG.6 prog header,37,MCU-side mating at routing
